,Address,Balance Mainnet,Balance Fork,Difference
318,0xa0645b6fe075f5611b5fc24802e9ff68a0e80e67,978514613566000,29817344613566000,28838830000000000
319,0x2a4e0b8ff8b14af7220c0aff3667a7cd7451f651,0,0,0
320,0xfaaa7460ed59c12e204349766ce73cf5202e6ad6,0,0,0
321,0xb6381ec49ad089d54a1bf231f8c99fce8d36a89f,0,0,0
322,0xd1c9193981619fc65b325adc52a8c1762429d1c9,16363750675127015,1870182760675127015,1853819010000000000
323,0xfe3e6a25e6b192a42a44ecddcd13796471735acf,0,0,0
324,0x37a41f96497beddd074988ebf7aa96b0895ce5eb,0,2706390000000000,2706390000000000
325,0x36375545ac58e3dfedccf668681d5a6b7607d928,117679209530598669,120982609530598669,3303400000000000
326,0x13f4da5a1a49ab3acaab1bf973d23ee823f929ef,0,324121110000000000,324121110000000000
327,0x1558aafc5b283b8a8f75961b9748ddc796522d24,486859212149632371,929940212149632371,443081000000000000
328,0x0e1e8ca191366d46caadd6c90f260eb134839ed0,0,18400000000000000,18400000000000000
329,0xdc27dcd35a4cf633a1e7f20096ed32cbd424bc97,45836943088126446,65134497800566946,19297554712440500
330,0x88004441a0f79727d19a2697344244c901736e0a,118732804017345057,118732804017345057,0
331,0x972d2e48d7010c09099640cc38ff4f4bff51c512,6951390038480398353,6914905846496529081,36484191983869272
332,0x337b208bf16fb909cf4bb6f9e5eb0cf6faeb5369,57413825536214297,4556410995536214297,4498997170000000000
333,0x9534df8f2c9289bbdb0c736e9fef402b20f1828e,0,0,0
334,0x3d334345154c1d3a53cf8c0f5e9d837359b2bc5a,0,19100000000000000,19100000000000000
335,0x61935f4ed8050170525dcd54d29847cf46bb38b3,549003672192995525,549553453392809525,549781199814000
336,0x6fce2cd214a87ba8a640a6f5b835af258df131d9,570582537892248519,570263789822359095,318748069889424
337,0x35328a6bbb43bb53f0838ec98225c46bc367087d,177271740408925434,166963669791028507,10308070617896927
338,0x530f655fe8d29be562279025d9d2bb2f4c2f1965,0,3000000000000000,3000000000000000
339,0x93c8fa7bc6dc80a9b031d543f3a48e0e4706aec9,503373374405269,5039503373374405269,5039000000000000000
340,0x552ed1312f87ee679af33e4b8fbde9a2cba3626f,2370419835310837551,2353951124304814415,16468711006023136
341,0x4ed148773b14ed06c5fe10a2e76ea009cb9ca033,0,0,0
342,0xb2fdf917b8c54360c430506d6cce7dd099882990,86541751015636375,78783749385166753,7758001630469622
343,0xc92e8bdf79f0507f65a392b0ab4667716bfe0110,0,0,0
344,0x88dd694eb900a670734892ca2e89f20defe2ac8c,546544582102671789,549723088583901755,3178506481229966
345,0x68d8a1ee782bef2504c3644161683846eee5e429,90162022738462256,81976450066950314,8185572671511942
346,0x142fd5b9d67721efda3a5e2e9be47a96c9b724a4,0,0,0
347,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,9911383687787562707346,9911703687787562707346,320000000000000000
348,0x93fc0c711c2df516bc442ad4b3ed47cc4001829b,115119374755354381,112524280696534807,2595094058819574
349,0xd03fb608f52fd26e181dd221e84c3f7f2c711861,79265000000000000,2163797310000000000,2084532310000000000
350,0xe65e6c462119c311d57fd31bdeba502cccc504b4,0,0,0
351,0x6377ba25bf1416f5bfc2024d0c6800c13f8e8477,1810297047310444970,1883828428864063220,73531381553618250
352,0xfaf760f66ee150bc7339104a0464b5f1b491c708,0,0,0
353,0x4a299f36b68c1e777333490b72a68294ad5f0333,3767911709720812223,3829359669720812223,61447960000000000
354,0x67079a80471824bbb5a4d562c19de45261a52a75,0,0,0
355,0x1baf16c71acdc044bd7b6e5805d93a8b2be90e78,408542822194631084,374058630210761812,34484191983869272
356,0x7201d51799307c40a238ee8cf1b49710db4b65e2,0,0,0
357,0x48f6edf82ebc31a7b36cdb3497cdeceaa4addf68,0,129000000000000000,129000000000000000
358,0xa7d7ac8fe7e8693b5599c69cc7d4f6226677845b,383168202150664653,382445408080813653,722794069851000
359,0xbf96189eee9357a95c7719f4f5047f76bde804e5,0,0,0
360,0x5bf5bcc5362f88721167c1068b58c60cad075aac,0,0,0
361,0x5035b7c3ed64036840fe53639cb779a04ea2e910,82968751533071547,74384995915593519,8583755617478028
362,0xa055a112c215c96ddf94037b86738cf5716e3e98,0,0,0
363,0x000000000000000000000000000000000000dead,12564729012237294209744,12564729012237294209744,0
364,0x77a8bdc99112c4ec544d8ce46960683443f624f0,146584362591322502,146584362591322502,0
365,0x0000006e413f09535f3c4cf8b97740da92a0567b,9132260707176371551,8942257758215406853,190002948960964698
366,0x9c80777cae192e5031c38a0d951c55730ecc3f5e,0,0,0
367,0xad5d9b9e062555ef621fbed3c8bd86e618f2f0d3,23056111017347230098,76930011017347230098,53873900000000000000
368,0x248475c0e9810a4f558bce4c718ae50a989dd55e,175287372026575286508,155275555426575286508,20011816600000000000
369,0x1b3682983331c26b0c7765d99672ffdbc13ed78d,15155104000000000,15155104000000000,0
370,0x757908a2235a5667fdefa202acb094caf0800664,3011611260652322290,3011709241676477290,97981024155000
371,0x1528526ffdbe11fe0db0bb48eeed41fccd70265f,1002834347424000,396833252424000,606001095000000
372,0x7a6cbd7a4562021fbdc0ac328c6c572fd703087a,177494442425331668,162294025147494868,15200417277836800
373,0xe93685f3bba03016f02bd1828badd6195988d950,38375816201714043391,38375816201714043391,0
374,0x2d216a726879d66e6243bc7875ebf23907698416,15327027738959682,32989950031739682,17662922292780000
375,0x24fe681230ee4fa0ff370c177b454089b881de3d,34879873396827140,30880451922050140,3999421474777000
376,0xf0d3b755329cf65a525f7c701b8c7a7258eaf554,108469961000000000,108469961000000000,0
377,0x4c7417648d55771df7c6740f1d50ace4092906e0,0,111946009724099576,111946009724099576
378,0x05f08b01971cf70bcd4e743a8906790cfb9a8fb8,0,0,0
379,0x200667faaefdcca2281bacbeb060aa599ba70730,776831359689000,124914368588687124,124137537228998124
380,0xb51667ddaffdbe32e676704a0ca280ea19eb342b,1032611317663211411,1013842700422328693,18768617240882718
381,0x9ff58f4ffb29fa2266ab25e75e2a8b3503311656,0,0,0
382,0x29a0e282e9e07ee89736d0e72750d39f20f372a4,123821775314845443,124004577414430443,182802099585000
383,0x207a4dc5150f8bf9fde7a6b487259cd3a3968370,0,0,0
384,0x96feb73fa251e7da996c6032e94311966607ce6d,0,120000000000000000,120000000000000000
385,0x552b6ad871f27a9729162c18d769050363f2d57e,20777684738043738709,20776658702357727709,1026035686011000
386,0xf713ddafbbe6ac3b58679280e2588d0a8d19bec1,242769409337821936345,242715067400081690270,54341937740246075
387,0xe887512ab8bc60bcc9224e1c3b5be68e26048b8b,0,0,0
388,0x0a8f4c21a980b0a76b4f7071cb4713d8a74753f1,641800275388595378,643158427740650378,1358152352055000
389,0x28fa792a8203da3ef10b15fae8bf30717cbbffb5,92742341517000,69277672341517000,69184930000000000
390,0x0000001b37b9123e1a83e15a4af30120bdcdf252,7420668621404679448,7166054427171798474,254614194232880974
391,0x5d12b24e8b7c1a42bb48515afffcbf4ba2abd7ff,33922891196532584,44154484536882812,10231593340350228
392,0xfe4fb0e0031019eab366bdfb3d131e4802c4b6af,13682164345786766,65163174345786766,51481010000000000
